Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.12645,0.10688,0.071313,0,0,0,2.9503,0.0063474,-6.7175E-07,-1.1759E-05,0.0056315,-1.54E-07,0.011263,0,0,0,0,0,0,package://lide/meshes/base_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://lide/meshes/base_link.STL,,Body_long-1,body,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
LFS,0.04556,0.0083094,0.0029762,0,0,0,0.072793,2.2093E-05,-1.6485E-08,-1.5645E-07,1.6263E-05,2.9641E-09,1.8084E-05,0,0,0,0,0,0,package://lide/meshes/LFS.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://lide/meshes/LFS.STL,,Sus_L-1,Origin_LFS,,LFS,fixed,-0.059044,0.1894,-0.014503,1.5708,0,1.5708,base_link,0,0,0,,,,,,,,,,,,
LFW,0.015,0,0,0,0,0,0.289786121963991,0.000439831942427159,-4.7261907244405E-23,-6.92511400711663E-21,0.000241649930360879,-8.470329472543E-22,0.000241649930360879,0,0,0,0,0,0,package://lide/meshes/LFW.STL,1,1,1,1,0,0,0,0,0,0,package://lide/meshes/LFW.STL,,wheel-1,Origin_LFW,Axis_LFW,LFW,continuous,0.063346,-0.006798,0.015044,-1.6264,0,0,LFS,1,0,0,3.1,7,,,,,,,,,,
RFS,-0.019183,-0.0090093,0.052006,0,0,0,0.072793,2.2093E-05,-1.6485E-08,1.5645E-07,1.6263E-05,-2.9641E-09,1.8084E-05,0,0,0,0,0,0,package://lide/meshes/RFS.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://lide/meshes/RFS.STL,,Sus_R-1,Origin_RFS,,RFS,fixed,-0.10807,-0.0057812,0.0027844,1.5708,0,1.5708,base_link,0,0,0,,,,,,,,,,,,
RFW,-0.015,-3.4694E-18,0,0,0,0,0.28979,0.00043983,-1.8734E-37,0,0.00024165,-1.9835E-37,0.00024165,0,0,0,0,0,0,package://lide/meshes/RFW.STL,1,1,1,1,0,0,0,0,0,0,package://lide/meshes/RFW.STL,,wheel-2,Origin_RFW,Axis_RFW,RFW,continuous,-0.036969,-0.024084,0.064073,0,0,0,RFS,1,0,0,3.1,7,,,,,,,,,,
LBS,-4.7988E-10,-0.023473,-1.1682E-09,0,0,0,0.083536,7.7297E-05,-8.6048E-13,1.4059E-13,5.1382E-05,-5.0656E-12,7.7395E-05,0,0,0,0,0,0,package://lide/meshes/LBS.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://lide/meshes/LBS.STL,,ball_sus-2,Origin_LBS,,LBS,fixed,-0.202,0.26775,0.0094377,1.5708,0,1.5708,base_link,0,0,0,,,,,,,,,,,,
LBW,0,0,0,0,0,0,0.11299,4.0471E-05,-2.9147E-22,-2.4789E-22,4.1493E-05,-3.2611E-20,4.0471E-05,0,0,0,0,0,0,package://lide/meshes/LBW.STL,1,1,1,1,0,0,0,0,0,0,package://lide/meshes/LBW.STL,,Alba-1,Origin_LBW,Axis_LBW,LBW,fixed,0,-0.055738,0,3.1416,0,1.5708,LBS,0,0,0,,,,,,,,,,,,
RBS,-4.7988E-10,-0.023473,-1.1682E-09,0,0,0,0.083536,7.7297E-05,-8.6048E-13,1.4059E-13,5.1382E-05,-5.0656E-12,7.7395E-05,0,0,0,0,0,0,package://lide/meshes/RBS.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://lide/meshes/RBS.STL,,ball_sus-1,Origin_RBS,,RBS,fixed,-0.202,-0.05775,0.0094377,1.5708,0,1.5708,base_link,0,0,0,,,,,,,,,,,,
RBW,0,0,0,0,0,0,0.11299,4.0471E-05,5.401E-22,-1.008E-22,4.1493E-05,-3.2617E-20,4.0471E-05,0,0,0,0,0,0,package://lide/meshes/RBW.STL,1,1,1,1,0,0,0,0,0,0,package://lide/meshes/RBW.STL,,Alba-2,Origin_RBW,Axis_RBW,RBW,fixed,0,-0.055738,0,0,0,-1.5708,RBS,0,0,0,,,,,,,,,,,,
fcam,-0.011554,-2.6443E-06,0.0012903,0,0,0,0.043612,2.3571E-05,-1.0184E-09,2.1759E-08,4.2948E-06,-8.8502E-10,2.2106E-05,0,0,0,0,0,0,package://lide/meshes/fcam.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://lide/meshes/fcam.STL,,Webcam_C920-2,fcam,,fcam,fixed,-0.0038823,0.105,0.15182,0,0.2618,0,base_link,0,0,0,,,,,,,,,,,,
